Employe,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrMa0ger,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
ALEXANDER CHEN,50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,22,Male,1,Research Scientist,Divorced,96670,3,Y,23,8,0,28,2,10,1,6,1,2,2,2,4
OLLIE BANKS,53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,23,Female,2,Research Scientist,Married,21480,3,Y,11,8,0,21,2,5,1,3,3,3,2,3,3
BURK DELVENTHAL,42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,24,Male,1,Manufacturing Director,Married,89260,1,Y,14,8,0,0,4,20,11,6,2,3,3,1,3
THOMAS HARVEY,29,No,Travel_Frequently,Research & Development,16,4,Medical,1,25,Male,1,Laboratory Technician,Single,65130,1,Y,11,8,1,10,2,10,0,9,2,4,2,3,3
MARTIN BELTRAN,55,No,Travel_Rarely,Research & Development,1,4,Other,1,26,Female,1,Research Scientist,Married,67990,3,Y,11,8,0,12,2,10,0,8,2,4,3,3,3
LORI BORGHI,26,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,27,Female,1,Ma0ger,Married,162910,1,Y,22,8,0,5,3,5,3,3,1,1,3,3,4
ROBERT TAI,37,No,Travel_Rarely,Sales,5,1,Marketing,1,28,Male,1,Research Scientist,Single,27050,1,Y,11,8,0,17,2,17,5,7,4,4,3,3,3
CHRISTOPHER HAZEN,44,Yes,Travel_Frequently,Research & Development,1,2,Medical,1,29,Male,2,Research Scientist,Divorced,103330,3,Y,14,8,1,19,2,1,0,0,4,3,1,2,3
PIERRE FRANCOIS,38,No,Travel_Rarely,Sales,2,3,Marketing,1,30,Female,1,Ma0ger,Divorced,44480,9,Y,12,8,0,10,3,2,1,2,4,4,3,2,3
ROSELYN JEQUINTO,26,Yes,Travel_Rarely,Research & Development,4,3,Medical,1,31,Male,3,Research Scientist,Divorced,68540,2,Y,11,8,0,5,5,3,0,2,1,2,3,2,3
TROY JOLLIFF,28,No,Travel_Rarely,Research & Development,7,3,Other,1,32,Male,1,Human Resources,Single,96370,1,Y,13,8,0,5,6,5,0,2,4,4,3,2,3
COLLEEN RILEY,49,No,Travel_Frequently,Research & Development,1,1,Medical,1,33,Female,2,Research Scientist,Single,35910,9,Y,13,8,0,22,2,3,1,2,3,1,3,3,3
EUGENE GALEANO,36,No,Travel_Rarely,Sales,5,3,Technical Degree,1,34,Male,3,Sales Executive,Single,54050,4,Y,14,8,0,10,2,8,7,7,3,2,3,3,3
MICHAEL AHERN,31,No,Travel_Frequently,Research & Development,9,4,Medical,1,35,Male,1,Sales Executive,Divorced,46840,1,Y,16,8,1,2,4,2,2,2,4,2,2,3,3
BRIAN DELAHUNTY,26,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,36,Male,2,Ma0ger,Single,157870,1,Y,12,8,2,8,5,8,7,4,4,4,3,3,3
ROBERT SERRANO,37,No,Travel_Frequently,Sales,9,1,Marketing,1,37,Male,1,Laboratory Technician,Married,15140,1,Y,14,8,0,4,3,4,1,2,2,4,2,3,3
JAMES VANNUCCHI,42,No,Travel_Frequently,Sales,2,2,Marketing,1,38,Male,3,Research Director,Married,29560,5,Y,13,8,0,23,2,20,4,8,3,2,4,3,3
CROCE CASCIATO,18,Yes,Travel_Rarely,Research & Development,1,4,Life Sciences,1,39,Male,1,Sales Executive,Single,23350,1,Y,14,8,2,0,3,0,0,0,3,3,3,2,3
PHILIP STEVENS,35,No,Travel_Rarely,Sales,20,2,Life Sciences,1,40,Male,1,Laboratory Technician,Married,51540,0,Y,19,8,0,12,2,11,6,9,3,2,2,2,3
TIMOTHY SULLIVAN,36,No,Travel_Frequently,Research & Development,8,3,Other,1,41,Female,3,Sales Executive,Married,69620,4,Y,12,8,2,4,2,1,0,0,3,0,3,2,3
JOHN FEENEY,51,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,42,Male,2,Laboratory Technician,Divorced,56750,5,Y,13,8,0,13,2,4,1,2,4,2,3,2,3
CANTREZ TRIPLETT,41,No,Travel_Rarely,Research & Development,29,1,Life Sciences,1,43,Male,1,Laboratory Technician,Single,23790,1,Y,12,8,0,22,6,22,0,4,4,2,3,3,3
GERARDO PINTO,18,No,Travel_Rarely,Sales,7,3,Life Sciences,1,44,Male,1,Research Scientist,Single,38120,1,Y,15,8,0,0,3,0,0,0,4,3,3,3,3
NOEL MORONEY,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,45,Male,1,Sales Representative,Single,46480,0,Y,23,8,2,9,2,8,0,7,2,1,3,2,4
GERALD MANSUR JR,31,No,Travel_Rarely,Research & Development,8,1,Technical Degree,1,46,Male,1,Manufacturing Director,Married,29360,4,Y,12,8,1,10,2,8,7,7,2,4,2,3,3
ROLAND PICKENS,39,No,Travel_Rarely,Sales,5,4,Marketing,1,47,Female,2,Human Resources,Divorced,21050,0,Y,20,8,0,19,3,18,3,7,3,4,2,3,4
MERCEDES GERMAN,36,No,Non-Travel,Research & Development,5,4,Life Sciences,1,48,Male,1,Sales Executive,Married,85780,7,Y,21,8,0,11,4,9,0,8,2,2,3,3,4
ALAN HARVEY,32,No,Travel_Rarely,Sales,2,3,Marketing,1,49,Male,2,Laboratory Technician,Married,27060,1,Y,21,8,1,13,4,13,4,8,4,3,2,3,4
MICHAEL ELLIS,38,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,50,Female,3,Research Scientist,Married,63840,3,Y,19,8,2,19,4,10,0,1,1,2,3,2,3
BARBARA SCHULTHEIS,58,No,Non-Travel,Research & Development,2,3,Life Sciences,1,51,Male,2,Manufacturing Director,Divorced,39680,2,Y,13,8,2,12,3,5,1,2,4,3,3,2,3
RAYMOND KOENIG,31,No,Travel_Rarely,Research & Development,20,1,Technical Degree,1,52,Female,3,Research Scientist,Married,99070,0,Y,13,8,1,6,3,5,0,3,3,4,3,2,3
STEPHEN TACCHINI,31,No,Travel_Rarely,Sales,7,4,Marketing,1,53,Male,2,Sales Executive,Married,132250,3,Y,21,8,1,9,2,2,1,0,1,1,3,3,4
WILLIAM RADER,45,No,Travel_Frequently,Research & Development,3,1,Medical,1,54,Female,1,Sales Executive,Divorced,35400,1,Y,13,8,0,24,6,24,9,11,1,1,3,3,3
GREGORY MCFARLAND,31,No,Travel_Rarely,Sales,16,4,Marketing,1,55,Female,2,Research Scientist,Divorced,28040,0,Y,19,8,2,3,0,2,2,2,3,4,1,3,3
SAM YUEN,33,No,Travel_Frequently,Research & Development,9,3,Life Sciences,1,56,Male,4,Research Director,Married,193920,6,Y,12,8,1,12,3,10,8,8,4,2,3,3,3
FRANK CARDI0LE,39,No,Travel_Rarely,Sales,1,4,Life Sciences,1,57,Male,1,Sales Executive,Married,196650,1,Y,22,8,1,21,6,21,11,10,3,1,3,3,4
ANNE KRONENBERG,43,No,Travel_Frequently,Research & Development,7,4,Medical,1,58,Male,4,Research Scientist,Single,24390,0,Y,15,8,0,9,2,8,1,7,3,4,3,3,3
BARRY BLOOM,49,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,59,Male,3,Manufacturing Director,Single,73140,7,Y,22,8,0,25,2,7,0,7,3,3,3,3,4
CLEMENTINO AVILA II,52,Yes,Travel_Rarely,Research & Development,7,1,Life Sciences,1,60,Female,2,Research Scientist,Married,47740,2,Y,18,8,1,11,2,8,7,7,3,2,2,3,3
RYAN KENNEDY,27,No,Travel_Rarely,Research & Development,15,4,Medical,1,61,Male,3,Research Scientist,Single,39020,1,Y,22,8,0,4,2,4,1,2,3,2,2,3,4
JOHN ROCCO,32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,62,Male,3,Research Scientist,Married,26620,1,Y,11,8,1,13,6,13,11,9,3,2,3,4,3
ARNOLD CHOY,27,No,Travel_Rarely,Research & Development,13,2,Medical,1,63,Female,4,Research Director,Single,28560,1,Y,12,8,2,5,5,5,0,4,4,3,3,4,3
REGI0 GOMEZ,31,No,Travel_Rarely,Sales,24,3,Life Sciences,1,64,Male,2,Healthcare Representative,Divorced,10810,4,Y,11,8,3,13,4,7,1,7,4,4,3,4,3
MIKE BREILING,32,No,Travel_Rarely,Research & Development,7,3,Technical Degree,1,65,Male,2,Healthcare Representative,Single,24720,7,Y,13,8,0,10,2,7,0,7,1,4,2,3,3
ANDREW LOGAN,28,Yes,Travel_Rarely,Research & Development,9,4,Medical,1,66,Male,1,Sales Executive,Married,56730,5,Y,14,8,1,5,4,3,2,2,1,4,2,2,3
GREGORY CORRALES,30,No,Travel_Rarely,Research & Development,13,3,Life Sciences,1,67,Female,4,Research Director,Married,41970,1,Y,13,8,0,11,3,10,1,9,4,4,3,3,3
JOHN EHRLICH,31,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,68,Female,1,Ma0ger,Married,97130,1,Y,17,8,0,10,5,10,8,9,3,3,3,2,3
GLENN KIRCHER,39,No,Travel_Frequently,Research & Development,19,4,Medical,1,69,Female,1,Research Scientist,Married,20620,1,Y,13,8,0,21,4,21,13,3,3,4,3,3,3
ARTHUR STELLINI,39,Yes,Travel_Rarely,Research & Development,1,1,Medical,1,70,Female,1,Laboratory Technician,Married,42840,4,Y,17,8,1,12,0,1,0,0,4,3,2,3,3
MARGARET RYKOWSKI,33,No,Travel_Frequently,Sales,4,2,Life Sciences,1,71,Male,4,Research Scientist,Single,47880,3,Y,11,8,1,9,0,7,0,1,2,4,2,3,3
MICHAEL SIMMONS,47,No,Travel_Rarely,Research & Development,4,3,Life Sciences,1,72,Female,2,Healthcare Representative,Married,59060,4,Y,23,8,0,21,4,3,1,1,4,3,3,4,4
RUBY MARTIN,43,No,Travel_Frequently,Research & Development,14,3,Medical,1,73,Female,5,Research Director,Divorced,38860,1,Y,17,8,2,9,2,9,0,0,3,3,4,3,3
TYRONE PRUITT,27,No,Non-Travel,Research & Development,2,3,Life Sciences,1,74,Male,1,Research Director,Married,168230,0,Y,17,8,0,6,3,5,1,4,3,2,3,3,3
0NCY PARKER,54,No,Travel_Frequently,Research & Development,1,4,Life Sciences,1,75,Male,2,Research Scientist,Single,29330,3,Y,12,8,2,20,2,4,0,3,4,3,2,3,3
DANIEL MAHONEY,43,No,Travel_Rarely,Research & Development,7,2,Life Sciences,1,76,Female,2,Ma0ger,Married,65000,8,Y,23,8,0,10,3,1,0,0,3,1,2,3,4
BROOK MANCINELLI,45,No,Travel_Rarely,Sales,3,1,Marketing,1,77,Female,1,Sales Executive,Married,171740,9,Y,14,8,1,12,6,10,9,8,4,4,3,3,3
PHILIP GINSBURG,40,No,Travel_Rarely,Research & Development,2,4,Other,1,78,Male,4,Research Scientist,Married,50330,2,Y,14,8,2,6,6,4,0,2,2,4,2,3,3
DON0 LEE,29,Yes,Travel_Rarely,Research & Development,29,3,Medical,1,79,Female,1,Research Scientist,Married,23070,1,Y,13,8,1,7,0,7,0,7,2,1,2,3,3
JOHN GOLDBERG,29,No,Travel_Rarely,Human Resources,8,3,Medical,1,80,Male,3,Sales Representative,Single,25870,0,Y,22,8,2,4,3,3,2,2,2,4,3,3,4
ANTONIO PARRA,30,No,Travel_Rarely,Research & Development,10,3,Life Sciences,1,81,Male,2,Research Scientist,Divorced,55070,1,Y,12,8,2,10,2,10,1,2,4,3,3,2,3
CHAD LAW,27,No,Travel_Rarely,Research & Development,11,2,Medical,1,82,Male,1,Ma0ger,Married,43930,1,Y,18,8,1,8,2,8,0,7,2,2,3,2,3
CRISTI0 REYES,37,No,Travel_Rarely,Sales,1,4,Life Sciences,1,83,Male,2,Healthcare Representative,Divorced,133480,7,Y,14,8,0,8,4,6,0,4,4,4,2,3,3
HAGOP HAJIAN,38,No,Travel_Rarely,Research & Development,28,4,Medical,1,84,Male,1,Laboratory Technician,Divorced,65830,0,Y,12,8,0,12,1,11,2,9,3,4,3,3,3
KEITH SANFORD,31,No,Travel_Rarely,Research & Development,6,3,Medical,1,85,Female,3,Ma0ger,Single,81030,1,Y,15,8,1,11,5,11,4,10,3,4,0,3,3
JESUS PE0,29,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,86,Male,3,Sales Executive,Divorced,39780,1,Y,11,8,0,7,0,7,1,7,4,2,3,3,3
FER0NDO DEALBA,35,No,Travel_Rarely,Sales,16,2,Technical Degree,1,87,Male,3,Ma0ger,Single,25440,0,Y,13,8,1,17,3,16,0,13,3,2,3,4,3
ROBERT STYLES,23,No,Travel_Rarely,Research & Development,20,4,Life Sciences,1,88,Male,1,Manufacturing Director,Divorced,53990,1,Y,23,8,0,4,2,4,0,2,3,4,2,2,4
PAUL CHIGNELL,41,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,89,Female,1,Laboratory Technician,Single,54870,6,Y,19,8,2,8,0,5,1,2,4,2,3,3,3
CHRIS VEIN,47,No,Travel_Frequently,Sales,1,3,Medical,1,90,Female,2,Laboratory Technician,Single,68340,3,Y,16,8,1,5,2,0,0,0,2,3,3,4,3
THOMAS CUN0NE,42,No,Travel_Rarely,Research & Development,3,4,Life Sciences,1,91,Male,1,Ma0ger,Single,10910,2,Y,22,8,0,16,0,1,0,0,1,4,3,1,4
JAY HUISH,29,No,Non-Travel,Sales,22,4,Marketing,1,92,Male,2,Human Resources,Married,57360,1,Y,22,8,0,4,1,4,0,2,4,3,2,2,4
PATRICIA O'CONNER,42,No,Travel_Rarely,Sales,7,4,Medical,1,93,Male,3,Research Scientist,Divorced,22260,0,Y,12,8,1,4,3,3,1,0,3,3,3,2,3
NELSON ACETO,32,No,Travel_Rarely,Research & Development,2,3,Medical,1,94,Male,2,Research Scientist,Married,57470,1,Y,13,8,0,8,0,8,0,7,3,2,3,3,3
EDMUND VAIL,48,No,Travel_Rarely,Sales,13,4,Medical,1,95,Male,4,Sales Executive,Married,98540,3,Y,16,8,1,15,2,0,0,0,1,3,1,2,3
ANDREW SAITZ,37,No,Travel_Rarely,Research & Development,8,5,Technical Degree,1,96,Male,2,Manufacturing Director,Divorced,54670,4,Y,12,8,0,13,2,7,6,7,3,1,3,3,3
BONNIE TAYLOR,30,No,Non-Travel,Sales,25,4,Other,1,97,Male,1,Healthcare Representative,Married,53800,7,Y,21,8,1,4,0,2,2,2,4,3,4,3,4
ARNIE LEE,26,No,Travel_Rarely,Sales,28,3,Medical,1,98,Female,5,Laboratory Technician,Married,51510,1,Y,15,8,3,8,3,8,7,7,3,3,3,3,3
DENNIS MARTINEZ,42,No,Travel_Rarely,Sales,2,2,Medical,1,99,Female,1,Laboratory Technician,Single,21330,3,Y,13,8,2,14,2,1,0,0,1,4,3,3,3
MITCHELL LEE,21,Yes,Travel_Frequently,Research & Development,9,3,Medical,1,100,Female,4,Manufacturing Director,Single,178750,1,Y,12,8,0,3,5,3,1,2,1,2,3,2,3
FERDI0ND CADELI0,36,No,Non-Travel,Human Resources,28,3,Human Resources,1,101,Male,2,Laboratory Technician,Single,24320,4,Y,22,8,0,7,4,1,0,0,4,4,3,1,4
DENIS OLEARY,36,No,Travel_Frequently,Research & Development,6,3,Life Sciences,1,102,Female,2,Research Scientist,Married,47710,4,Y,13,8,1,16,2,13,1,12,1,4,3,3,3
NEREE DASTOUS,57,No,Travel_Rarely,Research & Development,21,4,Life Sciences,1,103,Male,5,Research Scientist,Married,191610,2,Y,18,8,0,15,2,3,1,2,4,3,3,1,3
PERRY LEONG,40,No,Travel_Rarely,Research & Development,8,3,Other,1,104,Male,2,Sales Executive,Married,50870,3,Y,14,8,1,10,3,7,1,7,4,3,3,3,3
LOUIS CASSANEGO,21,No,Non-Travel,Research & Development,1,5,Life Sciences,1,105,Female,2,Ma0ger,Single,28630,1,Y,14,8,0,3,2,3,2,2,1,4,2,1,3
MELISSA LERMA,33,Yes,Travel_Rarely,Human Resources,28,2,Human Resources,1,106,Female,5,Ma0ger,Single,55610,1,Y,21,8,1,1,3,1,0,0,4,3,3,1,4
RAYMOND CHAVEZ,37,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,107,Male,4,Research Scientist,Married,21440,6,Y,19,8,0,17,3,5,0,3,3,1,3,4,3
FREDERICK BINKLEY,46,No,Non-Travel,Sales,2,4,Marketing,1,108,Female,2,Laboratory Technician,Married,30650,2,Y,11,8,0,7,3,1,0,0,3,3,4,3,3
GUY GOODWIN,41,Yes,Travel_Frequently,Research & Development,16,1,Medical,1,109,Female,1,Research Scientist,Single,28100,1,Y,11,8,0,8,3,8,7,7,1,2,3,4,3
JEFFREY ADACHI,50,No,Travel_Rarely,Research & Development,9,3,Medical,1,110,Female,3,Laboratory Technician,Single,98880,6,Y,15,8,0,20,2,4,1,3,4,4,3,3,3
BERGLIOTH MATHEWS,40,Yes,Travel_Rarely,Research & Development,8,3,Medical,1,111,Female,1,Healthcare Representative,Married,86280,2,Y,20,8,0,8,2,6,1,0,3,3,3,2,4
GARRET TOM,31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,112,Male,4,Human Resources,Single,28670,0,Y,24,8,0,3,5,2,2,2,0,2,3,3,4
JAMES MILLER,21,Yes,Travel_Rarely,Human Resources,10,2,Human Resources,1,113,Male,1,Laboratory Technician,Single,53730,1,Y,12,8,1,1,2,1,0,0,3,2,3,3,3
PAUL LEE,29,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,114,Female,2,Research Director,Single,66670,9,Y,12,8,1,6,6,3,1,2,4,4,3,4,3
TANGERINE BRIGHAM,35,No,Travel_Rarely,Research & Development,29,3,Life Sciences,1,115,Female,3,Sales Executive,Single,50030,9,Y,15,8,0,10,2,1,0,0,3,2,3,3,3
PABLO SIGUENZA,27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,116,Male,1,Sales Executive,Divorced,23670,0,Y,12,8,1,5,2,5,0,4,4,2,3,3,3
DANIEL CUNNINGHAM,28,No,Travel_Rarely,Research & Development,2,2,Medical,1,117,Male,3,Ma0ger,Single,28580,1,Y,12,8,0,7,2,7,0,7,2,4,3,2,3
JIMMIE LEW,49,No,Travel_Rarely,Sales,2,3,Technical Degree,1,118,Male,2,Manufacturing Director,Single,52040,8,Y,14,8,1,26,3,5,0,0,2,3,3,3,3
DEBBIE TAM,51,No,Travel_Rarely,Research & Development,1,2,Life Sciences,1,119,Male,1,Sales Executive,Married,41050,4,Y,22,8,1,18,2,7,0,7,3,4,2,3,4
ALBERT YU,36,No,Travel_Rarely,Sales,15,2,Life Sciences,1,120,Male,1,Sales Executive,Married,96790,4,Y,12,8,0,6,1,2,2,2,4,3,3,3,3
MICHAEL HENNESSEY,34,Yes,Non-Travel,Research & Development,7,3,Life Sciences,1,121,Male,1,Sales Representative,Single,56170,8,Y,25,8,1,9,3,5,0,4,1,4,2,3,4
BRIAN MURPHY,55,No,Travel_Rarely,Sales,26,3,Marketing,1,122,Male,1,Laboratory Technician,Single,104480,2,Y,13,8,0,30,3,5,1,2,3,4,3,3,3
STEVEN WILLIAMS,24,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,123,Female,5,Ma0ger,Divorced,28970,1,Y,18,8,3,5,4,5,0,3,4,3,4,3,3
DAVID LAZAR,30,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,124,Female,2,Ma0ger,Married,59680,1,Y,13,8,0,1,3,1,0,0,3,2,3,3,3
JOSEPHINE RAPADAS,26,Yes,Travel_Frequently,Sales,14,3,Life Sciences,1,125,Male,2,Ma0ger,Single,75100,0,Y,18,8,3,7,3,6,0,4,3,0,3,3,3
JAMES HARRIGAN,22,No,Travel_Rarely,Research & Development,16,5,Other,1,126,Male,1,Research Scientist,Married,29910,1,Y,19,8,2,2,3,2,1,2,1,2,3,2,3
JOANNE HOEPER,36,No,Travel_Rarely,Research & Development,1,3,Medical,1,127,Female,5,Healthcare Representative,Married,196360,1,Y,12,8,1,10,3,10,9,0,2,3,3,3,3
MORGAN PETITI,30,Yes,Travel_Frequently,Sales,3,2,Marketing,1,128,Male,3,Research Scientist,Single,11290,9,Y,19,8,0,3,2,1,0,0,3,4,3,2,3
PAUL URQUIAGA,37,No,Travel_Rarely,Research & Development,10,1,Technical Degree,1,129,Male,1,Sales Executive,Divorced,133410,1,Y,14,8,1,18,3,18,12,17,4,1,2,3,3
EDGAR GONZALEZ,40,No,Travel_Rarely,Research & Development,6,2,Medical,1,130,Male,3,Research Scientist,Divorced,43320,7,Y,14,8,2,8,3,5,1,3,4,2,3,2,3
DOUGLAS MCEACHERN,42,No,Travel_Rarely,Research & Development,2,3,Medical,1,131,Female,4,Ma0ger,Divorced,110310,3,Y,12,8,1,8,2,5,1,2,2,1,3,2,3
JAY KLOO,37,No,Travel_Rarely,Sales,9,1,Marketing,1,132,Male,3,Sales Executive,Single,44400,2,Y,11,8,1,18,3,1,0,1,3,2,2,2,3
WING NG,43,No,Travel_Rarely,Sales,10,2,Life Sciences,1,133,Female,1,Sales Executive,Divorced,46170,1,Y,11,8,0,25,2,25,3,9,1,2,3,3,3
MARGARET CALLAHAN,40,No,Travel_Rarely,Sales,6,2,Life Sciences,1,134,Female,1,Laboratory Technician,Married,26470,6,Y,13,8,0,20,2,1,0,0,2,3,3,2,3
JOHNSON YOU,54,No,Travel_Rarely,Human Resources,9,3,Life Sciences,1,135,Female,2,Manufacturing Director,Married,63230,4,Y,23,8,1,24,2,4,1,2,1,1,2,2,4
JOHN VAN KOLL,34,No,Non-Travel,Research & Development,28,3,Medical,1,136,Male,1,Laboratory Technician,Married,56770,9,Y,20,8,1,6,3,3,1,2,3,3,3,3,4
DANIEL YONTS,31,No,Travel_Rarely,Research & Development,10,4,Life Sciences,1,137,Male,3,Sales Executive,Married,21870,1,Y,15,8,1,13,2,13,3,12,2,1,1,2,3
BRODERICK TOPPS,43,No,Travel_Frequently,Sales,14,3,Life Sciences,1,138,Female,1,Manufacturing Director,Married,37480,7,Y,14,8,2,0,3,3,1,2,4,4,3,2,3
DAVID THOMPSON,43,No,Travel_Rarely,Sales,27,4,Life Sciences,1,139,Male,2,Sales Representative,Divorced,39770,4,Y,18,8,1,8,3,5,0,2,3,3,3,3,3
JAMES BLAKE,25,No,Travel_Rarely,Human Resources,7,2,Human Resources,1,140,Male,1,Manufacturing Director,Single,86330,1,Y,19,8,1,5,2,5,1,3,2,4,3,4,3
SUSAN FERNYAK,37,No,Non-Travel,Research & Development,1,3,Medical,1,141,Male,3,Laboratory Technician,Married,20080,3,Y,22,8,0,15,5,13,10,7,2,3,3,2,4
CLYDE CHRISTOBAL,31,No,Travel_Rarely,Research & Development,24,1,Medical,1,142,Male,3,Laboratory Technician,Married,44400,1,Y,13,8,1,4,2,4,3,2,4,1,3,3,3
TODD RYDSTROM,39,No,Travel_Frequently,Research & Development,26,4,Technical Degree,1,143,Female,1,Sales Executive,Divorced,30670,1,Y,20,8,1,21,5,21,1,6,2,3,3,1,4
BOND YEE,56,No,Travel_Frequently,Research & Development,20,4,Life Sciences,1,144,Female,3,Sales Executive,Married,53210,9,Y,14,8,0,36,1,7,7,7,3,1,2,3,3
THOMAS MURPHY,30,No,Travel_Rarely,Sales,5,4,Medical,1,145,Female,2,Manufacturing Director,Single,54100,0,Y,17,8,1,6,2,5,4,4,2,3,3,3,3
